review_id,submission_id,submission_name,submission_url,category,submitted_at,reviewed_at,agent,verdict,confidence,one_line_reason
R038,SUB008,LifeLinear,https://shiporSkip.app/s/SUB008,Productivity,2026-05-09,2026-05-11 08:20:00,Engineer,Skip,0.62,Sync conflicts in personal mode will be a support nightmare.
R039,SUB008,LifeLinear,https://shiporSkip.app/s/SUB008,Productivity,2026-05-09,2026-05-11 15:32:00,Marketer,Ship,0.74,Power-user identity narrative is strong and will travel on X.
R040,SUB008,LifeLinear,https://shiporSkip.app/s/SUB008,Productivity,2026-05-09,2026-05-12 09:46:00,Customer,Skip,0.69,I would use this for a week and forget my password.
R041,SUB009,StaticVercel,https://shiporSkip.app/s/SUB009,DevTools,2026-05-10,2026-05-11 10:55:00,Aesthete,Skip,0.55,A CLI and a dashboard that looks like every Vercel competitor.
R042,SUB009,StaticVercel,https://shiporSkip.app/s/SUB009,DevTools,2026-05-10,2026-05-11 13:17:00,Skeptic,Skip,0.91,Cloudflare Pages does this for free and is faster.
R043,SUB009,StaticVercel,https://shiporSkip.app/s/SUB009,DevTools,2026-05-10,2026-05-12 09:08:00,Engineer,Ship,0.76,The build-cache architecture is legitimately innovative.
R044,SUB009,StaticVercel,https://shiporSkip.app/s/SUB009,DevTools,2026-05-10,2026-05-12 16:24:00,Marketer,Skip,0.83,Devtools without a thesis just becomes Cloudflare's free tier.
R045,SUB009,StaticVercel,https://shiporSkip.app/s/SUB009,DevTools,2026-05-10,2026-05-13 08:39:00,Customer,Skip,0.72,Why would I leave Vercel.
R046,SUB010,DesignCursor,https://shiporSkip.app/s/SUB010,DevTools,2026-05-12,2026-05-13 11:12:00,Aesthete,Ship,0.90,"This is what every designer secretly wanted, the demo gave me chills."
R047,SUB010,DesignCursor,https://shiporSkip.app/s/SUB010,DevTools,2026-05-12,2026-05-13 14:38:00,Skeptic,Skip,0.65,Figma will ship this themselves by EOY.
R048,SUB010,DesignCursor,https://shiporSkip.app/s/SUB010,DevTools,2026-05-12,2026-05-14 09:50:00,Engineer,Ship,0.85,The diff-aware Figma plugin is meaningful engineering.
R049,SUB010,DesignCursor,https://shiporSkip.app/s/SUB010,DevTools,2026-05-12,2026-05-14 15:06:00,Marketer,Ship,0.86,Designers have been waiting for their Cursor moment.
R050,SUB010,DesignCursor,https://shiporSkip.app/s/SUB010,DevTools,2026-05-12,2026-05-15 10:21:00,Customer,Ship,0.81,My team would expense this without asking.
R051,SUB011,SATtutor,https://shiporSkip.app/s/SUB011,AI Tools,2026-05-14,2026-05-15 11:48:00,Aesthete,Skip,0.59,Looks like a Khan Academy fan project.
R052,SUB011,SATtutor,https://shiporSkip.app/s/SUB011,AI Tools,2026-05-14,2026-05-15 14:02:00,Skeptic,Skip,0.86,Test-prep customers are price-sensitive and churn after the test.
R053,SUB011,SATtutor,https://shiporSkip.app/s/SUB011,AI Tools,2026-05-14,2026-05-16 09:33:00,Engineer,Ship,0.74,Adaptive item-response scoring is well implemented.
R054,SUB011,SATtutor,https://shiporSkip.app/s/SUB011,AI Tools,2026-05-14,2026-05-16 16:18:00,Marketer,Ship,0.79,Parents will pay and tutoring SEO is a known playbook.
R055,SUB011,SATtutor,https://shiporSkip.app/s/SUB011,AI Tools,2026-05-14,2026-05-17 09:07:00,Customer,Skip,0.63,I would rather watch YouTube practice videos for free.
R056,SUB012,DnDcord,https://shiporSkip.app/s/SUB012,Consumer,2026-05-16,2026-05-17 12:42:00,Aesthete,Ship,0.82,The parchment skin and dice animations are genuinely joyful.
R057,SUB012,DnDcord,https://shiporSkip.app/s/SUB012,Consumer,2026-05-16,2026-05-17 14:55:00,Skeptic,Skip,0.78,The DnD market is mature and Roll20 plus Discord already wins.
R058,SUB012,DnDcord,https://shiporSkip.app/s/SUB012,Consumer,2026-05-16,2026-05-18 09:14:00,Engineer,Skip,0.67,Real-time canvas plus voice plus dice is a three-system problem they undersized.
R059,SUB012,DnDcord,https://shiporSkip.app/s/SUB012,Consumer,2026-05-16,2026-05-18 15:36:00,Marketer,Skip,0.71,Crit Role audience is loud but small in revenue terms.
R060,SUB012,DnDcord,https://shiporSkip.app/s/SUB012,Consumer,2026-05-16,2026-05-19 10:48:00,Customer,Ship,0.80,My Saturday group would switch tomorrow.
